genre,note
pop,"Radio-friendly songs built around a strong vocal hook and a clear verse-chorus structure; broadly upbeat and danceable."
lofi,"Downtempo, low-fidelity instrumental beats with soft textures and vinyl crackle; a go-to backdrop for studying and focus."
rock,"Guitar-driven music with a strong backbeat and often distorted riffs; energy ranges from steady mid-tempo to hard-hitting."
metal,"Heavy, high-distortion guitars, aggressive drumming, and high intensity; the loudest, most driving end of the catalog."
jazz,"Improvisation-led music with swing rhythms and rich harmony; ranges from smooth and relaxed to bright and lively."
classical,"Acoustic orchestral and piano works prized for dynamics and mood; often calm, low-energy, and emotionally expressive."
ambient,"Atmospheric, beatless soundscapes emphasizing texture over rhythm; very low energy, ideal for calm and background listening."
folk,"Acoustic, story-driven songs with gentle instrumentation; understated and warm, frequently reflective or melancholy."
bluegrass,"Fast, acoustic string-band music with banjo and fiddle; typically bright and upbeat rather than somber."
country,"Acoustic-leaning songs with narrative lyrics and a steady groove; warm and approachable, from mellow ballads to lively."
house,"Four-on-the-floor electronic dance music around 120-128 BPM; steady, energetic, and built for movement."
synthwave,"Retro-futuristic electronic music with analog synths and 1980s aesthetics; pulsing, moderately energetic."
"hip hop","Rhythm-and-rhyme vocals over sampled or programmed beats; groove-focused, from laid-back to hard-hitting."
"r&b","Smooth, groove-based vocal music blending soul and pop; usually mid-tempo, warm, and emotionally expressive."
"indie pop","Melodic pop from independent artists, often brighter and more textured than mainstream pop; upbeat but understated."
afrobeats,"West-African pop blending percussion, highlife, and dance rhythms; buoyant, danceable, and warm."
